"Numero di Clusters";"DB index";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;5.432;"0 : 42,1 : 63,2 : 46";37;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 0 1 2 2 2 2 2 0 2 1 2 1 0 0 0 0 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 0 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 2 0 1 1 0 0 2 1 0 1 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.447;"0 : 43,1 : 101,2 : 7";44;"0 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 2 1 0 0 1 1 1 2 1 1 0 0 1 1 0 1 0 0 0 1 1 0 2 1 1 1 1 1 2 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 2 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.448;"0 : 37,1 : 63,2 : 51";29;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 0 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 2 0 1 1 2 2 2 1 0 1 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.489;"0 : 44,1 : 100,2 : 7";45;"0 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 2 1 0 0 1 1 1 2 1 1 0 0 1 1 0 1 0 0 0 1 1 0 2 1 1 1 1 1 2 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 2 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.528;"0 : 43,1 : 62,2 : 46";38;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 0 1 2 2 2 2 2 0 2 1 2 1 0 0 0 0 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 0 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 2 0 1 1 0 0 2 1 0 0 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.534;"0 : 38,1 : 62,2 : 51";30;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 0 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 2 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.619;"0 : 41,1 : 41,2 : 69";28;"0 0 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 0 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 0 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 0 1 2 2 0 0 0 1 2 2 2 2 1 2 0 1 1 2 2 2 2 0 0 2 2 2 1 0 1 1 1 2 2 1 1 1 1 1 1 0 0 1 2 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 "
3;5.648;"0 : 39,1 : 105,2 : 7";40;"0 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 1 1 2 1 1 0 1 1 1 2 1 1 0 0 1 1 1 1 0 0 0 1 1 0 2 1 1 1 1 1 2 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 2 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.676;"0 : 39,1 : 61,2 : 51";31;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 0 0 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 2 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.837;"0 : 36,1 : 64,2 : 51";25;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.88;"0 : 36,1 : 65,2 : 50";18;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.948;"0 : 34,1 : 66,2 : 51";23;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.974;"0 : 37,1 : 63,2 : 51";26;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 0 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;5.977;"0 : 38,1 : 64,2 : 49";19;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 0 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 0 2 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;6;"0 : 34,1 : 67,2 : 50";17;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;6.036;"0 : 42,1 : 64,2 : 45";20;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 0 2 2 2 2 0 2 0 2 1 0 0 1 1 2 1 1 1 1 0 1 2 0 0 0 0 1 2 1 1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;6.101;"0 : 44,1 : 59,2 : 48";33;"0 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 0 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 0 2 2 2 2 0 2 0 2 1 0 0 1 1 2 1 1 1 1 0 1 2 0 0 0 0 1 2 1 1 1 1 2 0 1 1 2 0 2 1 0 0 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;6.123;"0 : 33,1 : 100,2 : 18";61;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 2 2 2 0 2 2 2 0 1 0 1 0 2 1 1 2 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;6.13;"0 : 35,1 : 65,2 : 51";24;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;6.255;"0 : 34,1 : 100,2 : 17";62;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 2 2 2 0 2 2 0 0 1 0 1 0 2 1 1 2 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;6.323;"0 : 45,1 : 94,2 : 12";64;"0 1 0 0 0 2 0 2 0 0 0 0 0 2 0 2 0 0 0 2 2 0 2 0 2 0 0 2 0 0 2 0 2 1 0 1 0 2 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
